2019.06.13 20:35:17.315 INFO  Model.MyModel - Cient connected to server with port 5400 via stratedy Model.MyModel$1@24057972.
2019.06.13 20:49:04.703 INFO  Model.MyModel - Cient connected to server with port 5400 via strategy Model.MyModel$1@52f82fac With pool 4.
2019.06.13 20:49:04.713 INFO  Model.MyModel - Cient gentrated a maze via MyMaze generating strategy
2019.06.13 20:49:06.907 INFO  Model.MyModel - Cient connected to server with port 5401 via strategy Model.MyModel$2@6790857a With pool 4.
2019.06.13 20:49:06.907 INFO  Model.MyModel - Cient solved a maze via BESTFS solving strategy
2019.06.15 15:00:17.947 INFO  Model.MyModel - Cient connected to server with port 5400 via strategy Model.MyModel$1@684bc2ff With pool 4.
2019.06.15 15:00:17.954 INFO  Model.MyModel - Cient gentrated a maze via MyMaze generating strategy
2019.06.15 15:00:22.197 INFO  Model.MyModel - Cient connected to server with port 5401 via strategy Model.MyModel$2@3e51c4f8 With pool 4.
2019.06.15 15:00:22.198 INFO  Model.MyModel - Cient solved a maze via BESTFS solving strategy
2019.06.15 15:00:56.925 INFO  Model.MyModel - Cient connected to server with port 5400 via strategy Model.MyModel$1@183424f7 With pool 4.
2019.06.15 15:00:56.933 INFO  Model.MyModel - Cient gentrated a maze via MyMaze generating strategy
2019.06.15 16:02:40.193 INFO  Model.MyModel - Cient connected to server with port 5400 via strategy Model.MyModel$1@183424f7 With pool 4.
2019.06.15 16:02:40.200 INFO  Model.MyModel - Cient gentrated a maze via SimpleMaze generating strategy
2019.06.15 16:04:48.054 INFO  Model.MyModel - Cient connected to server with port 5400 via strategy Model.MyModel$1@52b01b4f With pool 4.
2019.06.15 16:04:48.057 INFO  Model.MyModel - Cient gentrated a maze via SimpleMaze generating strategy
2019.06.15 16:05:41.085 INFO  Model.MyModel - Cient connected to server with port 5400 via strategy Model.MyModel$1@25bf3531 With pool 4.
2019.06.15 16:05:41.085 INFO  Model.MyModel - Cient gentrated a maze via SimpleMaze generating strategy
2019.06.15 16:05:50.776 INFO  Model.MyModel - Cient connected to server with port 5400 via strategy Model.MyModel$1@7c02484b With pool 4.
2019.06.15 16:05:50.776 INFO  Model.MyModel - Cient gentrated a maze via MyMaze generating strategy
2019.06.15 16:06:02.952 INFO  Model.MyModel - Cient connected to server with port 5400 via strategy Model.MyModel$1@7d40ca29 With pool 4.
2019.06.15 16:06:02.953 INFO  Model.MyModel - Cient gentrated a maze via MyMaze generating strategy
2019.06.15 16:12:42.862 INFO  Model.MyModel - Cient connected to server with port 5400 via strategy Model.MyModel$1@398527e5 With pool 4.
2019.06.15 16:12:42.864 INFO  Model.MyModel - Cient gentrated a maze via MyMaze generating strategy
